Total Nacional;Municipios;Tamaño del hogar;Total
Total Nacional;02028 Cotillas;1 persona;33
Total Nacional;02028 Cotillas;2 personas;20
Total Nacional;02028 Cotillas;3 personas;14
Total Nacional;02028 Cotillas;4 personas;3
Total Nacional;02028 Cotillas;5 o más personas;1
Total Nacional;02029 Chinchilla de Monte-Aragón;Total (tamaño del hogar);1.767
Total Nacional;02029 Chinchilla de Monte-Aragón;1 persona;556
Total Nacional;02029 Chinchilla de Monte-Aragón;2 personas;452
Total Nacional;02029 Chinchilla de Monte-Aragón;3 personas;353
Total Nacional;02029 Chinchilla de Monte-Aragón;4 personas;308
Total Nacional;02029 Chinchilla de Monte-Aragón;5 o más personas;98
Total Nacional;02030 Elche de la Sierra;Total (tamaño del hogar);1.490
Total Nacional;02030 Elche de la Sierra;1 persona;481
Total Nacional;02030 Elche de la Sierra;2 personas;389
Total Nacional;02030 Elche de la Sierra;3 personas;301
Total Nacional;02030 Elche de la Sierra;4 personas;239
Total Nacional;02030 Elche de la Sierra;5 o más personas;80
Total Nacional;02031 Férez;Total (tamaño del hogar);280
Total Nacional;02031 Férez;1 persona;111
Total Nacional;02031 Férez;2 personas;72
Total Nacional;02031 Férez;3 personas;36
Total Nacional;02031 Férez;4 personas;46
Total Nacional;02031 Férez;5 o más personas;15
Total Nacional;02032 Fuensanta;Total (tamaño del hogar);150
Total Nacional;02032 Fuensanta;1 persona;78
Total Nacional;02032 Fuensanta;2 personas;42
Total Nacional;02032 Fuensanta;3 personas;16
Total Nacional;02032 Fuensanta;4 personas;6
Total Nacional;02032 Fuensanta;5 o más personas;8
Total Nacional;02033 Fuente-Álamo;Total (tamaño del hogar);973
Total Nacional;02033 Fuente-Álamo;1 persona;269
Total Nacional;02033 Fuente-Álamo;2 personas;267
Total Nacional;02033 Fuente-Álamo;3 personas;197
Total Nacional;02033 Fuente-Álamo;4 personas;173
Total Nacional;02033 Fuente-Álamo;5 o más personas;67
Total Nacional;02034 Fuentealbilla;Total (tamaño del hogar);724
